Process ID=1508,Messaging Broker Name=AISEmbeddedBroker,Broker Memory Limit=52428800,Broker Store Limit=1073741824
Time,CPU Usage,Threads,Handles,Private Bytes,Virtual Bytes,Available Bytes,Broker Memory Usage,Broker Store Usage,Total Messages Enqueued,Total Messages Dequeued,Number of Pending Messages,Number of Queues,Number of Topics,Total CPU Usage, Process - IO Read Operations/sec, Process - IO Write Operations/sec, System - File Read Operations/sec, System - File Write Operations/sec
2017-Feb-06 18:24:35.048,161.579,109,2012,1619488768,8853762048,22766120960,0,1,0,0,0,0,0,176.815,994,16,1053,24
2017-Feb-06 18:24:45.050,165.166,109,2012,1631670272,8870342656,22673977344,0,1,0,0,0,0,0,202.705,1011,16,1103,67
2017-Feb-06 18:24:55.053,165.010,109,2013,1648574464,8887250944,22572728320,0,1,0,0,0,0,0,172.604,987,16,1031,36
2017-Feb-06 18:25:05.071,185.931,109,2010,1660588032,8908025856,22484082688,0,1,0,0,0,0,0,203.324,850,16,2715,629
2017-Feb-06 18:25:15.073,188.717,110,2014,1675796480,8927752192,22405197824,0,1,0,0,0,0,0,201.146,739,16,771,19
2017-Feb-06 18:25:25.076,197.919,110,2012,1690079232,8928800768,22327410688,0,1,0,0,0,0,0,206.292,742,17,793,17
2017-Feb-06 18:25:35.109,224.823,110,2014,1706336256,8946036736,22245691392,0,1,0,0,0,0,0,233.171,777,16,799,16
2017-Feb-06 18:25:45.111,215.231,110,2012,1721143296,8962748416,22160105472,0,1,0,0,0,0,0,222.357,846,16,871,17
2017-Feb-06 18:25:55.113,194.808,110,2014,1736454144,8983584768,22072897536,0,1,0,0,0,0,0,203.164,833,16,887,26
2017-Feb-06 18:26:05.113,196.101,110,2014,1743437824,8984633344,21990617088,0,1,0,0,0,0,0,206.863,881,16,1387,17
2017-Feb-06 18:26:15.113,173.636,110,2015,1745133568,8995119104,21921288192,0,1,0,0,0,0,0,185.022,762,16,803,18
2017-Feb-06 18:26:25.112,167.552,110,2012,1748844544,9011699712,21855141888,0,1,0,0,0,0,0,176.910,771,16,810,16
2017-Feb-06 18:26:35.112,175.040,109,2008,1752383488,9011699712,21783564288,0,1,0,0,0,0,0,181.122,829,14,861,14
2017-Feb-06 18:26:45.111,191.577,109,2012,1757220864,9011699712,21703118848,0,1,0,0,0,0,0,199.999,916,16,941,16
2017-Feb-06 18:26:55.111,182.996,109,2010,1763209216,9011699712,21616140288,0,1,0,0,0,0,0,188.454,965,16,998,25
2017-Feb-06 18:27:05.111,167.864,109,2011,1767628800,9028280320,21541769216,0,1,0,0,0,0,0,175.038,823,16,842,17
2017-Feb-06 18:27:15.126,190.188,110,2014,1773944832,9031426048,21458804736,0,1,0,0,0,0,0,198.908,896,16,914,16
2017-Feb-06 18:27:25.125,203.433,110,2012,1781817344,9031426048,21366026240,0,1,0,0,0,0,0,213.883,900,17,959,19
2017-Feb-06 18:27:35.125,187.521,110,2013,1794650112,9048006656,21284384768,0,1,0,0,0,0,0,196.567,820,16,2046,21
2017-Feb-06 18:27:45.125,199.065,110,2014,1805299712,9048559616,21200822272,0,1,0,0,0,0,0,207.175,857,17,876,19
2017-Feb-06 18:27:55.124,208.582,110,2013,1819406336,9066188800,21115420672,0,1,0,0,0,0,0,216.223,848,17,873,23
2017-Feb-06 18:28:05.123,201.099,110,2015,1835843584,9082769408,21033680896,0,1,0,0,0,0,0,207.013,771,18,797,18
2017-Feb-06 18:28:15.126,240.651,110,2013,1852694528,9099350016,20941950976,0,1,0,0,0,0,0,249.340,863,18,882,19
2017-Feb-06 18:28:25.145,282.289,109,2012,1871626240,9118855168,20835680256,0,1,0,0,0,0,0,288.517,1061,19,1081,19
2017-Feb-06 18:28:35.164,261.425,109,2012,1889755136,9152016384,20731916288,0,1,0,0,0,0,0,267.964,1053,18,1072,19
2017-Feb-06 18:28:45.183,251.616,109,2012,1904340992,9176985600,20640657408,0,1,0,0,0,0,0,259.400,1017,17,1037,18
